"排名","代號","名稱","市場","股價日期","成交","漲跌價","漲跌幅","面值(元)","股本(億)","發行量(萬張)","市值(億)","成立年數","上市年數","股票期貨","選擇權","權證","公司債","私募股","特別股","產業別","董事長","總經理"
"522",="4157","太景*-KY","櫃","06/02","15.85","-0.25","-1.55","0","0.21","71.68","114","16.7","8.4","","","有","","","","生技醫療業","黃國龍","黃國龍"
"523",="3708","上緯投控","市","06/02","121.5","-4","-3.19","10","9.35","9.35","114","5.8","5.8","","","有","","","","化學工業","蔡朝陽","蔡朝陽"
"524",="3357","臺慶科","櫃","06/02","110","-1","-0.9","10","10.3","10.31","113","29.6","1.1","","","有","","","","電子零組件業","謝明諺","謝明良"
"525",="3705","永信","市","06/02","42.4","0","0","10","26.6","26.64","113","11.4","11.4","","","","","","","生技醫療業","李芳信","李芳信"
"526",="2102","泰豐","市","06/02","23.85","0","0","10","47.3","47.33","113","66.5","42.9","","","有","","","","橡膠工業","江慶興","江慶興(兼任)"
"527",="1537","廣隆","市","06/02","137.5","0","0","10","8.21","8.21","113","32.4","20.4","","","","有","","","電機機械","李耀銘","李瑞勳"
"528",="2908","特力","市","06/02","22.1","+0.1","+0.45","10","51","50.99","113","43.8","29.3","","","","","","","貿易百貨業","李麗秋","李麗秋董事長代理總經理"
"529",="8261","富鼎","市","06/02","138.5","-3.5","-2.46","10","8.13","8.13","113","23.9","18.1","","","有","","","","半導體業","鄧富吉","黃林鍾"
"530",="1309","台達化","市","06/02","29.55","-0.2","-0.67","10","37.9","37.87","112","62.2","35.9","","","有","","","","塑膠工業","吳亦圭","吳培基"
"531",="5243","乙盛-KY","市","06/02","66.1","+0.1","+0.15","10","16.9","16.85","111","14","8.5","","","有","","","","光電業","蔡嘉祥","蔡嘉祥"
"532","00836B","永豐10年A公司債","櫃","06/02","32.75","+0.23","+0.71","","","33.95","111","","3","","","","","","","N/A","",""
"533",="6206","飛捷","市","06/02","77.6","+0.3","+0.39","10","14.3","14.31","111","37.8","19.5","","","有","","","","電腦及週邊設備業","林大成","卓君弘/徐嘉宏"
"534",="6525","捷敏-KY","市","06/02","85","+0.2","+0.24","10","12.9","12.9","110","24.1","6.1","","","有","","","","半導體業","鄭祝良","湯彥鏘"
"535",="6188","廣明","櫃","06/02","39.3","-0.25","-0.63","10","27.8","27.84","109","23.3","19.8","","","有","","","","電腦及週邊設備業","何世池","張嘉峰"
"536",="8942","森鉅","櫃","06/02","65.7","-0.3","-0.45","10","16.6","16.58","109","27.7","19.1","有","","有","","","","其他業","鄭憲得","鄭憲松"
"537",="2612","中航","市","06/02","55","+0.3","+0.55","10","19.7","19.75","109","44.3","27.6","","","","有","","","航運業","彭士孝","戴聖堅"
"538","00633L","富邦上証正2","市","06/02","40.71","+0.01","+0.02","","","26.65","108","","7.5","","","有","","","","N/A","",""
"539",="1225","福懋油","市","06/02","49.55","-0.45","-0.9","10","21.9","21.87","108","36.1","28.7","","","","","","","食品工業","晉昇投資有限公司","許逸群"
"540",="3059","華晶科","市","06/02","38.7","-0.5","-1.28","10","27.9","27.92","108","25.4","19.4","","","有","","","","光電業","夏汝文","夏汝文"
"541",="8404","百和興業-KY","市","06/02","34.2","+0.2","+0.59","10","31.5","31.52","108","15.6","11.1","","","","","","","其他業","鄭國火因","鄭新隆"
"542","2838A","聯邦銀甲特","市","06/02","53.4","-0.1","-0.19","","","20","107","","4.5","","","","","","","銀行業","",""
"543",="6582","申豐","市","06/02","100.5","-0.5","-0.5","10","10.6","10.62","107","42.9","5","","","有","","","","橡膠工業","許志民","許志民"
"544",="1201","味全","市","06/02","21.05","+0.15","+0.72","10","50.6","50.61","107","68.7","60.3","","","有","","","","食品工業","陳宏裕","張教華"
"545",="3558","神準","櫃","06/02","217","-1","-0.46","10","4.91","4.91","106","15.6","8.4","","","有","","","","通信網路業","蔡文河","林伯彰"
"546",="2535","達欣工","市","06/02","31.45","-0.05","-0.16","10","33.8","33.85","106","55.3","26.2","","","有","有","","","建材營造業","王人正","執行長：廖肇邦"
"547",="2028","威致","市","06/02","32.65","-0.4","-1.21","10","32.6","32.57","106","39.6","25.5","","","有","","有","","鋼鐵工業","郭瑞西","郭素惠"
"548",="00850","元大臺灣ESG永續","市","06/02","33.02","-0.26","-0.78","","","32.09","106","","2.8","","","","","","","N/A","",""
"549",="5287","數字","櫃","06/02","208","+4.5","+2.21","10","5.08","5.08","106","15.4","8.4","","","有","","","","電子商務","廖世芳","吳聰賢"
"550",="2472","立隆電","市","06/02","64.6","-0.1","-0.15","10","16.3","16.35","106","46.3","22.1","","","有","有","","","電子零組件業","吳德銓","吳志銘"
